name,r,y,x,index,vy,vx,weight
arg_processing,6,1659.3341843326048,2255.1794945864344,91,-0.16639389076372235,-0.29399877725461926,1
skip_space,9.171167510947729,1836.473182816302,2263.336489511216,92,-0.16469800922544295,-0.29379054275021393,3
key_found,9.171167510947729,1731.4950562913941,2233.5362531578644,93,-0.16541184851179494,-0.2943251644519258,3
next_1,7.462288826689832,1555.1639904997724,2446.648044175812,94,-0.1658355104483298,-0.2923542645811424,2
set_snake_color,7.462288826689832,1555.5312017766535,2388.463334770664,95,-0.1664136375202159,-0.29186194289213346,2
next_2,7.462288826689832,1583.702511464872,2317.3586480608183,96,-0.1678752182093356,-0.29130659486805405,2
next_3,7.462288826689832,1630.0891834837564,2567.737174583555,97,-0.16586543245613344,-0.2935203832979676,2
show_help_and_quit,7.462288826689832,1917.75890717691,2404.724856048861,98,-0.16505118942950228,-0.2918163344189929,2
next_4,7.462288826689832,1569.7626177208958,2495.1011194791654,99,-0.1656739774647649,-0.2929372006267621,2
next_5,7.462288826689832,1787.028215897664,2243.4271270447975,100,-0.16496240100041817,-0.29413121993018815,2
set_die_on_cut,7.462288826689832,1595.2458504011522,2535.4992151520714,101,-0.16562140648175613,-0.29319425963343015,2
next_6,7.462288826689832,1902.6581963907365,2344.754593133657,102,-0.16459316839011365,-0.29257732654659674,2
next_7,7.462288826689832,1793.9438617629664,2591.7826849268986,103,-0.16700013923953483,-0.2929731995836941,2
set_len,7.462288826689832,1728.7334937187848,2601.203305894665,104,-0.1667480579391673,-0.2934974654688319,2
next_8,7.462288826689832,1873.8455708056035,2299.2760771493363,105,-0.16453624825314261,-0.2932609723800897,2
next_9,7.462288826689832,1908.8715355219263,2476.598700574154,106,-0.16617280628760409,-0.2909349379812165,2
set_food_count,7.462288826689832,1863.0592938716327,2549.5572080647985,107,-0.16739216420551417,-0.2915782491747516,2
next_l,7.462288826689832,1672.4892758997241,2590.0646486830083,108,-0.1662909318189378,-0.293668384468866,2
