source,target,left,right,index
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'found', 'r': 11.062866266041592, 'y': 708.9390813024352, 'x': 1600.4381929819301, 'index': 17, 'vy': -0.16719531476324467, 'vx': -0.28821536994552166, 'weight': 4}",False,True,25
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'continue', 'r': 24.952623149688797, 'y': 929.0258441430276, 'x': 1660.1933988258377, 'index': 16, 'vy': -0.16613423800400193, 'vx': -0.30449886241228125, 'weight': 10}",False,True,26
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'checking_loop', 'r': 15.270619156458231, 'y': 853.7276760826862, 'x': 1707.088967592394, 'index': 15, 'vy': -0.16355363482296492, 'vx': -0.30076361491267506, 'weight': 6}",False,True,27
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'found', 'r': 11.062866266041592, 'y': 708.9390813024352, 'x': 1600.4381929819301, 'index': 17, 'vy': -0.16719531476324467, 'vx': -0.28821536994552166, 'weight': 4}",False,True,28
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'food_beep', 'r': 7.462288826689832, 'y': 925.5548880961999, 'x': 1366.9231707219753, 'index': 18, 'vy': -0.16423059532845577, 'vx': -0.29771514077596745, 'weight': 2}",False,True,29
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'update_coords', 'r': 13.103282983463814, 'y': 636.3532442427348, 'x': 1455.1671646794564, 'index': 19, 'vy': -0.17305996688255706, 'vx': -0.2935573471031699, 'weight': 5}",False,True,30
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'lengthen', 'r': 7.462288826689832, 'y': 842.2497434415163, 'x': 1489.29053301982, 'index': 20, 'vy': -0.16896703676897668, 'vx': -0.30309614441306226, 'weight': 2}",False,True,31
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'draw_snake', 'r': 24.952623149688797, 'y': 627.8831949613372, 'x': 1910.7432514172913, 'index': 21, 'vy': -0.16551117531328127, 'vx': -0.29132159000309765, 'weight': 10}",False,True,32
"{'name': 'food_check', 'r': 35.90056685321995, 'y': 779.3635291190543, 'x': 1600.8080959292042, 'index': 14, 'vy': -0.16664698488607277, 'vx': -0.30543251820119716, 'weight': 14}","{'name': 'exit', 'r': 50.95996414826417, 'y': 801.6191602732167, 'x': 1806.0558275526005, 'index': 10, 'vy': -0.17370137255096676, 'vx': -0.2985637027987639, 'weight': 19}",False,True,33
"{'name': 'pois_check', 'r': 35.90056685321995, 'y': 882.6840519639013, 'x': 1570.45859209736, 'index': 22, 'vy': -0.16487866359340148, 'vx': -0.30072925220369323, 'weight': 14}","{'name': 'checking_loop', 'r': 15.270619156458231, 'y': 853.7276760826862, 'x': 1707.088967592394, 'index': 15, 'vy': -0.16355363482296492, 'vx': -0.30076361491267506, 'weight': 6}",False,True,34
